,sorta,lokalitet,CHU,HU,chilling start,dormancy end,dormancy end BBCH,flowering start,flowering start BBCH,izracunati_flowering
0,AJ,NS_NE,1201,4514,2017-11-15,2018-02-12,1,2018-04-13,61,2018-04-10 20:00:00
1,AJ,RU_IK,817,3803,2016-11-15,2017-03-03,1,2017-03-31,60,
4,AJ,RU_IK,0,0,2015-11-15,2016-02-16,1,2016-04-05,64,
6,AJ,RU_IK,1350,4509,2017-11-15,2018-03-05,1,2018-04-16,65,2018-04-11 17:00:00
10,AJ,NS_CE,728,4502,2016-11-15,2017-02-28,1,2017-04-05,65,2017-04-02 10:00:00
13,AJ,NS_CE,1005,4506,2017-11-15,2018-01-30,1,2018-04-18,65,2018-04-10 23:00:00
14,AJ,NS_CE,1183,4303,2013-11-15,2014-02-24,1,2014-04-02,65,
15,AJ,NS_CE,1001,2758,2015-11-15,2016-02-08,1,2016-03-29,65,
16,AJ,NS_CE,1531,4517,2014-11-15,2015-03-04,1,2015-04-22,65,2015-04-17 15:00:00
20,AJ,ZR_SU,977,4511,2015-11-15,2016-02-04,1,2016-04-07,65,2016-04-04 14:00:00
21,AJ,ZR_SU,735,4502,2016-11-15,2017-03-01,1,2017-04-04,65,2017-04-02 23:00:00
22,AJ,ZR_SU,1383,4515,2017-11-15,2018-03-02,1,2018-04-16,65,2018-04-13 14:00:00
